               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2;;;
36;            0.069414;            0.021953;           0.0098006;             0.37483;             0.54732;             0.42204;             0.13725;            0.065913;            0.023764;           0.0073187;             0.00221;             0.00221;             0.08011;;;
37;            0.067436;            0.020428;           0.0093616;             0.38688;             0.66655;             0.44323;             0.13552;            0.061588;            0.025283;           0.0066955;             0.00227;             0.00227;             0.07957;;;
38;            0.066924;            0.021079;           0.0086644;             0.74449;             0.44814;             0.55624;             0.27968;            0.067371;            0.023035;           0.0061783;             0.00233;             0.00233;             0.07903;;;
39;            0.067981;            0.020483;           0.0089577;             0.52084;             0.69596;             0.60309;              0.2471;            0.056352;            0.024184;           0.0063921;             0.00239;             0.00239;             0.07849;;;
40;            0.066013;            0.020636;           0.0074229;             0.43625;             0.75747;             0.63688;             0.24018;            0.051232;            0.025068;           0.0060858;             0.00245;             0.00245;             0.07795;;;
41;            0.068442;             0.02232;           0.0079809;             0.33083;             0.78231;             0.45217;              0.1453;            0.060672;            0.023043;           0.0052856;             0.00251;             0.00251;             0.07741;;;
42;            0.063677;            0.021101;           0.0070438;             0.58961;             0.72604;             0.64048;             0.27781;            0.053851;            0.023447;           0.0059058;             0.00257;             0.00257;             0.07687;;;
43;            0.063098;            0.018878;           0.0069798;             0.29027;             0.70956;             0.34956;            0.080147;            0.071956;            0.022305;           0.0052639;             0.00263;             0.00263;             0.07633;;;
44;            0.065557;            0.020326;           0.0068496;             0.37376;             0.77059;             0.54095;             0.21278;            0.065228;            0.023045;            0.005495;             0.00269;             0.00269;             0.07579;;;
45;            0.064955;            0.021442;           0.0067868;              0.5185;             0.70945;             0.60036;             0.20686;            0.060472;            0.022804;           0.0055309;             0.00275;             0.00275;             0.07525;;;
46;            0.063164;            0.020072;           0.0067497;             0.44927;             0.68093;             0.55718;             0.21526;            0.069316;            0.021027;           0.0051935;             0.00281;             0.00281;             0.07471;;;
47;            0.063055;            0.018731;           0.0061364;              0.4351;             0.57756;              0.4485;             0.16505;            0.064245;            0.021964;            0.004299;             0.00287;             0.00287;             0.07417;;;
48;            0.064147;            0.019615;           0.0062145;             0.48562;             0.59456;             0.53711;             0.20257;            0.075061;             0.02164;           0.0045447;             0.00293;             0.00293;             0.07363;;;
49;            0.063925;            0.020422;           0.0062853;             0.53677;             0.68224;             0.61489;             0.29676;            0.056174;            0.022207;           0.0053595;             0.00299;             0.00299;             0.07309;;;
50;            0.061367;            0.021738;           0.0064621;             0.45921;              0.7773;             0.55574;             0.19661;            0.061878;            0.021628;           0.0043017;             0.00305;             0.00305;             0.07255;;;
51;            0.062762;            0.018699;           0.0055898;             0.53362;             0.74468;             0.65768;             0.26188;            0.052579;            0.022167;            0.004273;             0.00311;             0.00311;             0.07201;;;
52;            0.060103;            0.019483;           0.0063079;             0.67649;             0.71586;             0.73107;             0.34294;            0.054364;            0.021633;           0.0044525;             0.00317;             0.00317;             0.07147;;;
53;            0.059728;            0.019438;           0.0053283;             0.48719;              0.6947;             0.55568;             0.17879;            0.053671;             0.02282;           0.0042082;             0.00323;             0.00323;             0.07093;;;
54;            0.059021;            0.019179;            0.005394;             0.51018;             0.71958;             0.59668;              0.2372;            0.059982;            0.021331;           0.0041775;             0.00329;             0.00329;             0.07039;;;
55;            0.057583;            0.018539;           0.0053914;             0.63501;             0.70191;               0.704;             0.34318;            0.056895;            0.021463;            0.004046;             0.00335;             0.00335;             0.06985;;;
56;            0.060931;            0.019794;           0.0049892;             0.44268;             0.75462;              0.5829;             0.22786;            0.062012;            0.020626;           0.0040846;             0.00341;             0.00341;             0.06931;;;
57;            0.058702;            0.017491;           0.0055253;             0.49137;             0.73097;             0.57954;               0.251;            0.057484;            0.020869;           0.0050534;             0.00347;             0.00347;             0.06877;;;
58;            0.059293;            0.020201;            0.006441;             0.65382;             0.66849;             0.70134;             0.27886;            0.066555;            0.022275;           0.0040571;             0.00353;             0.00353;             0.06823;;;
59;             0.05973;            0.018408;           0.0053026;             0.37762;             0.71134;             0.44551;             0.15802;            0.066095;            0.021479;           0.0038766;             0.00359;             0.00359;             0.06769;;;
60;            0.059278;            0.020175;           0.0058578;             0.64106;              0.6864;              0.7065;             0.34367;            0.050983;            0.022179;           0.0048866;             0.00365;             0.00365;             0.06715;;;
61;            0.057381;            0.019106;           0.0053406;             0.52702;             0.81934;             0.69786;             0.26949;            0.053414;            0.021911;           0.0039011;             0.00371;             0.00371;             0.06661;;;
62;             0.05619;            0.018571;           0.0044785;             0.59425;             0.74801;             0.63122;             0.30388;            0.056464;            0.020832;           0.0038524;             0.00377;             0.00377;             0.06607;;;
63;            0.057144;            0.019768;           0.0052731;             0.57777;             0.71491;             0.66706;             0.26639;            0.055643;            0.020349;           0.0039106;             0.00383;             0.00383;             0.06553;;;
64;            0.056564;            0.020119;             0.00485;             0.48202;             0.74061;             0.56737;             0.23452;            0.053757;            0.021518;           0.0044553;             0.00389;             0.00389;             0.06499;;;
65;            0.055305;            0.018806;           0.0054324;             0.76529;             0.75203;             0.80138;             0.39204;            0.051432;            0.019734;           0.0039369;             0.00395;             0.00395;             0.06445;;;
66;            0.055518;            0.017859;           0.0053845;             0.64832;             0.74529;             0.73304;             0.25824;            0.058059;             0.02038;            0.004136;             0.00401;             0.00401;             0.06391;;;
67;            0.052939;            0.018494;           0.0049034;             0.72505;             0.74574;             0.78524;             0.38287;            0.046506;            0.020214;           0.0038247;             0.00407;             0.00407;             0.06337;;;
